model,dataset,tokens,token_offset,key_bits,value_bits,m_over_d,m,n_seeds,kv_bytes,key_bytes,value_bytes,qjl_bytes,shared_projection_bytes,fp16_perplexity,seed_perplexities,perplexity_mean,perplexity_sd,perplexity_ci95_low,perplexity_ci95_high,ppl_delta_fp_mean,ppl_delta_fp_sd,ppl_delta_fp_ci95_low,ppl_delta_fp_ci95_high,attention_logit_rmse_mean,attention_logit_rmse_sd,attention_logit_rmse_ci95_low,attention_logit_rmse_ci95_high,qjl_residual_rmse_mean,qjl_residual_rmse_sd,qjl_residual_rmse_ci95_low,qjl_residual_rmse_ci95_high,attention_kl_fp_to_quantized_mean,attention_kl_fp_to_quantized_sd,attention_kl_fp_to_quantized_ci95_low,attention_kl_fp_to_quantized_ci95_high,residual_norm_mean_mean,residual_norm_mean_sd,residual_norm_mean_ci95_low,residual_norm_mean_ci95_high,residual_norm_std_mean,residual_norm_std_sd,residual_norm_std_ci95_low,residual_norm_std_ci95_high,key_norm_mean_mean,key_norm_mean_sd,key_norm_mean_ci95_low,key_norm_mean_ci95_high,runtime_s_mean,runtime_s_sd,runtime_s_ci95_low,runtime_s_ci95_high
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,1,1.5,96,5,56,44,12,16,3538944,30.927341318986464,"[64.08153455750669, 64.90025562797156, 65.0271378077889, 62.3530444922685, 63.83170433047907]",64.03873536320295,1.0730102388800828,62.70641717988153,65.37105354652437,33.11139404421648,1.0730102388800828,31.779075860895063,34.4437122275379,0.6340602298836328,0.006094976584935644,0.6264923168882233,0.6416281428790422,0.6340602327345146,0.006094976770181054,0.6264923195090926,0.6416281459599367,0.13480334433584681,0.002001540537958701,0.1323181035089181,0.13728858516277553,2.992043221410778,0.002691972077314469,2.988700696598207,2.995385746223349,0.4840411792560998,0.0022755937658268657,0.48121565640253566,0.48686670210966393,16.361620538433392,0.02024305639296988,16.336485464096633,16.386755612770152,0.98537672519451,0.009314754774536799,0.973810929538871,0.996942520850149
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,1,2.0,128,5,60,48,12,20,4718592,30.927341318986464,"[60.78979168757815, 59.9058065308938, 59.265731184583274, 59.265731184583274, 57.38624769931535]",59.32266165739077,1.249870957686031,57.770741886831566,60.87458142794997,28.395320338404304,1.249870957686031,26.843400567845098,29.94724010896351,0.5490822087869875,0.0041824486702573506,0.5438890128487938,0.5542754047251813,0.5490822089215119,0.004182451150179748,0.5438890099040878,0.554275407938936,0.10096298318482393,0.0012464937083393377,0.09941525682319147,0.10251070954645639,2.989756832809912,0.001636238685546855,2.9877251741416004,2.9917884914782236,0.484883049570231,0.0020707482819784266,0.4823118759791561,0.4874542231613059,16.349890231755044,0.008139508753029278,16.339783696773342,16.359996766736746,1.031466283404734,0.004392437085704668,1.0260123524110394,1.0369202143984284
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,1,3.0,192,5,68,56,12,28,7077888,30.927341318986464,"[52.55782870314104, 56.05689670315115, 54.49161709130268, 55.457945789238345, 54.758340089645706]",54.664525675295785,1.3271287815867687,53.01667764621947,56.3123737043721,23.73718435630932,1.3271287815867687,22.089336327233003,25.38503238538564,0.4444478964691775,0.0025427807699907397,0.44129061713175516,0.4476051758065998,0.444447896660616,0.0025427781320102394,0.4412906205986791,0.44760517272255296,0.06668120658060717,0.0008471606401103341,0.06562931771308692,0.06773309544812742,2.991452228319314,0.004412744962684125,2.985973081765894,2.9969313748727338,0.4845627950918343,0.000893987880023317,0.48345276252637887,0.48567282765728975,16.358473939034674,0.023593818258434276,16.329178344323015,16.387769533746333,1.0329950750019634,0.036957123151041486,0.9871067457081324,1.0788834042957944
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,1,4.0,256,5,76,64,12,36,9437184,30.927341318986464,"[49.47003770903551, 53.75168417471723, 52.301824199806006, 52.04706667160949, 52.866688710345805]",52.08746029310281,1.6027571998835888,50.09737438014548,54.077546206060134,21.160118974116344,1.6027571998835888,19.170033061159018,23.15020488707367,0.3856686085617791,0.004232879226008702,0.3804127948180995,0.3909244223054587,0.38566860838068856,0.004232880431230671,0.3804127931405282,0.3909244236208489,0.04948148995099473,0.0008119119087714647,0.048473368164160306,0.050489611737829156,2.991684706716074,0.004843107745467501,2.985671194189105,2.9976982192430426,0.4849122435061468,0.0011386782101685566,0.4834983877670414,0.4863260992452522,16.358755588531494,0.023804688676995762,16.32919816361282,16.38831301345017,1.0303413665969856,0.01072158114337697,1.0170287652874341,1.043653967906537
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,0.0,0,5,48,28,20,0,0,30.927341318986464,"[39.90587026459418, 39.90587026459418, 39.90587026459418, 39.90587026459418, 39.90587026459418]",39.90587026459418,0.0,39.90587026459418,39.90587026459418,8.978528945607714,0.0,8.978528945607714,8.978528945607714,0.7330415141251352,0.0,0.7330415141251352,0.7330415141251352,0.7330415100376639,0.0,0.7330415100376639,0.7330415100376639,0.11325846029568412,0.0,0.11325846029568412,0.11325846029568412,2.991440931128131,0.0,2.991440931128131,2.991440931128131,0.49232785458055633,0.0,0.49232785458055633,0.49232785458055633,16.369360903898876,0.0,16.369360903898876,16.369360903898876,1.0033583419950447,0.019014393035438587,0.9797488547152442,1.0269678292748452
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,0.5,32,5,56,36,20,8,1179648,30.927341318986464,"[58.51809001725923, 60.908637772317434, 63.83170433047907, 61.206770500960836, 60.84918571479269]",61.06287766716185,1.8862995929783342,58.72072737273424,63.40502796158946,30.13553634817539,1.8862995929783342,27.793386053747778,32.477686642603004,1.0718758132515682,0.009090165931028986,1.0605888814773112,1.0831627450258252,1.0718758152280417,0.009090161369430543,1.060588889117757,1.0831627413383262,0.34996737515838405,0.004710636040867292,0.344118347977798,0.3558164023389701,2.980810536982285,0.01453391284718154,2.962764300646908,2.9988567733176614,0.48462595691283544,0.003086276354982561,0.48079383867434605,0.48845807515132483,16.3058259387811,0.08077594430962647,16.205529356810924,16.40612252075128,2.1425212247981107,0.28934635135069486,1.7832502773143357,2.5017921722818857
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,1.0,64,5,60,40,20,12,2359296,30.927341318986464,"[44.5617113320772, 46.56365552611074, 46.70027251047952, 42.72921218758949, 45.263456176258764]",45.16366154650314,1.629417312065922,43.14047273206094,47.18685036094534,14.23632022751668,1.629417312065922,12.213131413074477,16.259509041958882,0.7584809866112967,0.007903666548419949,0.7486672884043163,0.7682946848182771,0.7584809846348233,0.007903664993868595,0.7486672883580733,0.7682946809115733,0.17872992351670594,0.00408808878149782,0.1736538908552594,0.18380595617815249,2.9828139272414975,0.008835676341150909,2.9718429860289097,2.9937848684540853,0.487154360798498,0.002478794697136848,0.48407653066412476,0.49023219093287124,16.32179915772544,0.04593023198181116,16.26476924224448,16.3788290732064,1.0118477081996389,0.022346638966744523,0.9841006911137749,1.039594725285503
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,1.5,96,5,64,44,20,16,3538944,30.927341318986464,"[40.33685733281881, 41.943695056893915, 42.10785803778799, 38.152892061572366, 39.634006510082365]",40.43506179983109,1.653318932241918,38.382195204117615,42.487928395544564,9.507720480844625,1.653318932241918,7.454853885131147,11.560587076558104,0.6228820722394933,0.0034082775729508703,0.6186501366812749,0.6271140077977118,0.6228820736364772,0.0034082800827696653,0.6186501349619071,0.6271140123110472,0.12023712901152774,0.0005516800922287944,0.11955212770248151,0.12092213032057396,2.9847037834011845,0.002629384922483502,2.981438970805517,2.987968595996852,0.48993257864688833,0.002703077294117881,0.4865762648864201,0.49328889240735657,16.330905870927705,0.0117503803627851,16.316315846666033,16.345495895189377,0.9974871331985924,0.012831044619111357,0.9815552870356957,1.0134189793614892
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,2.0,128,5,68,48,20,20,4718592,30.927341318986464,"[38.115651564714454, 38.227482247146646, 37.305494633128845, 38.33964103892552, 37.232703447205715]",37.84419458622423,0.5315506942531076,37.184187225949934,38.50420194649853,6.916853267237772,0.5315506942531076,6.256845906963472,7.5768606275120725,0.5401095506890367,0.0030449687152777336,0.5363287226596195,0.5438903787184538,0.5401095503320297,0.0030449679383364693,0.5363287232673125,0.5438903773967468,0.09005946337064315,0.0012052786102284697,0.0885629123125174,0.0915560144287689,2.9847310420539643,0.0041293990636659325,2.979603715902394,2.989858368205535,0.49071430324369836,0.0006108979623087259,0.4899557732373236,0.4914728332500731,16.33096302913295,0.01864759845161162,16.307808977482622,16.354117080783276,1.0271592831995804,0.020567572626689713,1.0016212687385786,1.0526972976605822
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,3.0,192,5,76,56,20,28,7077888,30.927341318986464,"[36.798929313140206, 35.42376110042053, 36.87087245606033, 37.26908126888307, 37.41494832871136]",36.7555184934431,0.7885688336772007,35.77638096256059,37.73465602432561,5.828177174456636,0.7885688336772007,4.849039643574124,6.807314705339148,0.4375527436431083,0.0050545498992100105,0.43127669100613475,0.44382879628008187,0.437552743513758,0.005054548190237792,0.43127669299875376,0.44382879402876224,0.05900885271322396,0.0010531288269930638,0.05770122056327611,0.06031648486317181,2.982637506392267,0.004643211050191439,2.9768721983951827,2.9884028143893517,0.4910325829198377,0.0007663700421255108,0.49008100882922856,0.49198415701044684,16.321223196056152,0.025551014806890256,16.289497420852864,16.35294897125944,1.024741308602097,0.010930691232894732,1.01116906282273,1.0383135543814639
